trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
290,False,"{'a': 0.001, 'e': 0.7482635675785653}",30,0,-64.72435471580256,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
291,False,"{'a': 0.001, 'e': 0.747515678018091}",30,0,-56.68114521214547,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
292,False,"{'a': 0.001, 'e': 0.7467685359733571}",20,11,-22.411032575999382,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
293,False,"{'a': 0.001, 'e': 0.7460221406972215}",20,9,-7.031805483043877,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.001, 'e': 0.7452764914432887}",20,11,-56.808455512591884,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
295,False,"{'a': 0.001, 'e': 0.7445315874659094}",35,1,-141.160675775485,"{0: 24, 1: 3, 2: 3, 3: 2, 4: 2}",1
296,False,"{'a': 0.001, 'e': 0.7437874280201796}",20,0,-43.72533108828848,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
297,False,"{'a': 0.001, 'e': 0.7430440123619398}",20,0,-47.93932184577944,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
298,False,"{'a': 0.001, 'e': 0.7423013397477743}",25,0,-119.1821531354217,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
299,False,"{'a': 0.001, 'e': 0.7415594094350105}",25,13,-30.259953958256297,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
300,False,"{'a': 0.001, 'e': 0.7408182206817179}",20,0,-31.235452595027326,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
301,False,"{'a': 0.001, 'e': 0.7400777727467076}",25,14,-63.94650009859131,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
302,False,"{'a': 0.001, 'e': 0.7393380648895319}",30,0,-48.65425701749785,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
303,False,"{'a': 0.001, 'e': 0.7385990963704826}",20,0,-129.2316998831827,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
304,False,"{'a': 0.001, 'e': 0.7378608664505911}",25,0,-93.26876220014744,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
305,False,"{'a': 0.001, 'e': 0.7371233743916278}",25,4,-114.45392161318773,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 2}",1
306,False,"{'a': 0.001, 'e': 0.7363866194561001}",30,0,-84.73125757763158,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0
